epoch,lr,train_loss,val_loss,threshold,file_macro_f1,file_balanced_accuracy,file_bonafide_recall,file_spoof_recall,segment_macro_f1,segment_balanced_accuracy,segment_bonafide_recall,segment_spoof_recall,selection_score
1,0.0005990752001199383,0.023271827226676416,0.034564239567180334,0.08499999999999999,0.7240781324933839,0.8375844707345553,0.8167189952904239,0.8584499461786868,0.6754023534961077,0.788214518594968,0.7493131868131868,0.8271158503767492,0.7668835888358094
2,0.0005963065021785413,0.01720030113149778,0.011222414540950765,0.19999999999999996,0.7777102275787757,0.8510336381799553,0.7919937205651492,0.9100735557947613,0.7238216734991958,0.7967499872558115,0.7066817111459969,0.8868182633656261,0.7963957604717884
3,0.000591710976119303,0.014949251304162626,0.009571925910012793,0.20999999999999996,0.8222240050227957,0.8890518056191592,0.848116169544741,0.9299874416935773,0.7654153143839861,0.8249234450963461,0.7362637362637363,0.9135831539289558,0.834645491720791
4,0.0005853169548885461,0.012330314318812397,0.06502331486286034,0.05,0.7019227803169834,0.8408258248235951,0.8551805337519623,0.8264711158952278,0.646638324483928,0.7710161833943646,0.7473999215070644,0.7946324452816649,0.7530101316312392
5,0.000577163859753386,0.011450587727578608,0.010568261529153276,0.19999999999999996,0.8695460833014848,0.9016100064270139,0.8434065934065934,0.9598134194474345,0.7834308190868193,0.8247779870828849,0.71875,0.9308059741657696,0.8547774492061777
6,0.0005673019572565104,0.010898787353378247,0.026346389617394737,0.49999999999999994,0.8968895690070553,0.9267051442585811,0.8857927786499215,0.9676175098672407,0.8024220613881353,0.8489789722297796,0.7640796703296703,0.9338782741298888,0.8791842261776526
7,0.0005557920493062277,0.009551601686424644,0.009822903937433174,0.185,0.8305604101956605,0.8965534151890449,0.8598901098901099,0.9332167204879799,0.7604380480497505,0.8326355978136887,0.7615777080062794,0.9036934876210979,0.8401726179331799
8,0.0005427050983124842,0.009326040335181203,0.00843154205498415,0.12499999999999999,0.8908164718228112,0.9292114191871996,0.8956043956043956,0.9628184427700036,0.8179200779744262,0.8654813145552996,0.792778649921507,0.9381839791890922,0.8847917189614976
9,0.0005281217896800093,0.00888304232490903,0.006720706583610059,0.25499999999999995,0.8881610246760161,0.9327660972478748,0.9058084772370487,0.9597237172587011,0.8180931747426781,0.8862050813121474,0.8444858712715856,0.927924291352709,0.8898381780966775
10,0.0005121320343559642,0.0078567906434072,0.005073663923082305,0.195,0.9349617303304807,0.9549398939007581,0.9297488226059655,0.9801309651955508,0.8469395051469282,0.8958487883022712,0.8454179748822606,0.946279601722282,0.9171056765294268
11,0.0004948344144990552,0.008584901563747265,0.005292791131272722,0.25499999999999995,0.9402814452407435,0.959582158192415,0.9375981161695447,0.9815662002152853,0.856847338832613,0.8980015968256972,0.8434556514913658,0.9525475421600287,0.9223309747100215
12,0.000476335575687742,0.007197960256708975,0.006293701049678654,0.25999999999999995,0.9338796395534115,0.9528261892651405,0.9254317111459969,0.9802206673842842,0.863842926700376,0.8986056079921412,0.8400215855572999,0.9571896304269825,0.9197651057012562
13,0.00045674956941478464,0.006853623961122711,0.005611753273670123,0.195,0.929693493206866,0.9593916642586487,0.9430926216640503,0.9756907068532472,0.8519458027291902,0.898462125855973,0.848116169544741,0.9488080821672049,0.9186284045507761
14,0.000436197149921864,0.006802471420118347,0.006026167911304534,0.13,0.9264157052828972,0.9468215289759192,0.9156200941915228,0.9780229637603157,0.8618979924118272,0.8898900352556357,0.8202021193092621,0.9595779512020093,0.9135007913788045
15,0.00041480502970952696,0.006952707061376731,0.0055119510624448515,0.145,0.9329310110595217,0.9510825237605185,0.9218995290423861,0.9802655184786508,0.8464333437192916,0.887292979986977,0.824813579277865,0.9497723806960889,0.9133110632936493
